,Company,Open,High,Low,Close,Volume,Dividends,Stock Splits,Year,Month,Day
0,^GSPC,2683.72998046875,2872.8701171875,2682.360107421875,2823.81005859375,77318690000,0,0,2018,1,1
1,^GSPC,2816.449951171875,2835.9599609375,2532.68994140625,2713.830078125,79933970000,0,0,2018,2,1
2,^GSPC,2715.219970703125,2801.89990234375,2585.889892578125,2640.8701171875,76803890000,0,0,2018,3,1
3,^GSPC,2633.449951171875,2717.489990234375,2553.800048828125,2648.050048828125,70194700000,0,0,2018,4,1
4,^GSPC,2642.9599609375,2742.239990234375,2594.6201171875,2705.27001953125,76011820000,0,0,2018,5,1
5,^GSPC,2718.699951171875,2791.469970703125,2691.989990234375,2718.3701171875,77891360000,0,0,2018,6,1
6,^GSPC,2704.949951171875,2848.030029296875,2698.949951171875,2816.2900390625,64898300000,0,0,2018,7,1
7,^GSPC,2821.169921875,2916.5,2796.340087890625,2901.52001953125,69523070000,0,0,2018,8,1
8,^GSPC,2896.9599609375,2940.909912109375,2864.1201171875,2913.97998046875,63031510000,0,0,2018,9,1
9,^GSPC,2926.2900390625,2939.860107421875,2603.5400390625,2711.739990234375,91930980000,0,0,2018,10,1
10,^GSPC,2717.580078125,2815.14990234375,2631.090087890625,2760.169921875,80620020000,0,0,2018,11,1
11,^GSPC,2790.5,2800.179931640625,2346.580078125,2506.85009765625,84162180000,0,0,2018,12,1
12,^GSPC,2476.9599609375,2708.949951171875,2443.9599609375,2704.10009765625,80859870000,0,0,2019,1,1
13,^GSPC,2702.320068359375,2813.489990234375,2681.830078125,2784.489990234375,70638770000,0,0,2019,2,1
14,^GSPC,2798.219970703125,2860.31005859375,2722.27001953125,2834.39990234375,79159660000,0,0,2019,3,1
15,^GSPC,2848.6298828125,2949.52001953125,2848.6298828125,2945.830078125,70090370000,0,0,2019,4,1
16,^GSPC,2952.330078125,2954.1298828125,2750.52001953125,2752.06005859375,77250740000,0,0,2019,5,1
17,^GSPC,2751.530029296875,2964.14990234375,2728.81005859375,2941.760009765625,71250630000,0,0,2019,6,1
18,^GSPC,2971.409912109375,3027.97998046875,2952.219970703125,2980.3798828125,70599470000,0,0,2019,7,1
19,^GSPC,2980.320068359375,3013.590087890625,2822.1201171875,2926.4599609375,80269220000,0,0,2019,8,1
20,^GSPC,2909.010009765625,3021.989990234375,2891.85009765625,2976.739990234375,74178980000,0,0,2019,9,1
21,^GSPC,2983.68994140625,3050.10009765625,2855.93994140625,3037.56005859375,77720640000,0,0,2019,10,1
22,^GSPC,3050.719970703125,3154.260009765625,3050.719970703125,3140.97998046875,72410620000,0,0,2019,11,1
23,^GSPC,3143.85009765625,3247.929931640625,3070.330078125,3230.780029296875,72325540000,0,0,2019,12,1
24,^GSPC,3244.669921875,3337.77001953125,3214.639892578125,3225.52001953125,77287980000,0,0,2020,1,1
25,^GSPC,3235.659912109375,3393.52001953125,2855.840087890625,2954.219970703125,84436590000,0,0,2020,2,1
26,^GSPC,2974.280029296875,3136.719970703125,2191.860107421875,2584.590087890625,162185380000,0,0,2020,3,1
27,^GSPC,2498.080078125,2954.860107421875,2447.489990234375,2912.429931640625,123608160000,0,0,2020,4,1
28,^GSPC,2869.090087890625,3068.669921875,2766.639892578125,3044.31005859375,107135190000,0,0,2020,5,1
29,^GSPC,3038.780029296875,3233.1298828125,2965.659912109375,3100.2900390625,131458880000,0,0,2020,6,1
30,^GSPC,3105.919921875,3279.989990234375,3101.169921875,3271.1201171875,96928130000,0,0,2020,7,1
31,^GSPC,3288.260009765625,3514.77001953125,3284.530029296875,3500.31005859375,82466520000,0,0,2020,8,1
32,^GSPC,3507.43994140625,3588.110107421875,3209.449951171875,3363.0,92310780000,0,0,2020,9,1
33,^GSPC,3385.8701171875,3549.85009765625,3233.93994140625,3269.9599609375,89938980000,0,0,2020,10,1
34,^GSPC,3296.199951171875,3645.989990234375,3279.739990234375,3621.6298828125,101247180000,0,0,2020,11,1
